Cluster,tpm,Count,Species
18,44.362,6,No Match
48,27.3925649558233,251,Phocaeicola vulgatus
21,15.1570983333333,6,MccPDI
24,4.656835,2,No Match
44,3.69193,1,EN33
25,3.051295,6,No Match
35,2.7990737,21,Bacteroides cellulosilyticus
49,2.60631,1,Klebsiella aerogenes
63,2.60631,1,Klebsiella aerogenes
16,2.02156142857143,7,No Match
4,1.845965,2,MccH47
41,1.845965,2,MccI47
7,1.822445,2,No Match
12,0.661821111111111,9,MccV
22,0.597078888888889,9,No Match
65,0.2171925,12,Klebsiella variicola
56,0.200485384615385,13,Klebsiella pneumonia
61,0,2,
60,0,1,
40,0,2,
62,0,1,
54,0,1,
50,0,2,
64,0,3,
45,0,1,
66,0,1,
33,0,1,
39,0,1,
37,0,3,
34,0,1,
5,0,2,
32,0,1,
28,0,4,
26,0,1,
23,0,1,
20,0,1,
17,0,3,
15,0,1,
14,0,6,
10,0,1,
9,0,3,
6,0,1,
67,0,1,
